Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,Split,G2 Esports,13,7,6,,KRÜ Esports,8,3,5,,58:24
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,Sunset,G2 Esports,13,5,8,,KRÜ Esports,8,1,7,,45:29
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,Split,MIBR,7,2,5,,Sentinels,13,3,10,,1:01:27
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,Ascent,MIBR,6,5,1,,Sentinels,13,6,7,,45:03
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,Sunset,G2 Esports,9,6,3,,MIBR,13,7,6,,1:00:34
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,Split,G2 Esports,15,5,7,3,MIBR,13,5,7,1,1:08:34
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,Breeze,G2 Esports,10,6,4,,MIBR,13,7,6,,59:07
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Sunset,Sentinels,13,4,9,,G2 Esports,8,0,8,,54:28
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Breeze,Sentinels,9,3,6,,G2 Esports,13,4,9,,47:08
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Split,Sentinels,9,7,2,,G2 Esports,13,8,5,,52:50
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Ascent,Evil Geniuses,13,9,4,,LOUD,7,4,3,,58:24
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Icebox,Evil Geniuses,7,4,3,,LOUD,13,5,8,,47:45
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Sunset,Evil Geniuses,5,4,1,,LOUD,13,5,8,,40:45
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Sunset,NRG Esports,14,7,5,2,Sentinels,16,7,5,4,1:17:21
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Ascent,NRG Esports,13,8,5,,Sentinels,8,4,4,,53:29
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Split,NRG Esports,3,1,2,,Sentinels,13,2,11,,40:57
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Sunset,LOUD,9,4,5,,Sentinels,13,5,8,,1:11:51
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Split,LOUD,3,3,0,,Sentinels,13,4,9,,41:08
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Icebox,LOUD,13,8,5,,Sentinels,11,7,4,,53:28
