Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Icebox,1,13%,88%
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Split,1,62%,38%
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),All Maps,2,42%,58%
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),Icebox,1,46%,54%
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),Sunset,1,38%,62%
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),All Maps,3,55%,45%
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Bind,1,50%,50%
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Icebox,1,58%,42%
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Lotus,1,57%,43%
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),All Maps,2,38%,62%
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Ascent,1,32%,68%
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Icebox,1,45%,55%
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),All Maps,3,43%,57%
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Ascent,1,43%,57%
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Bind,1,48%,52%
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Breeze,1,38%,63%
Champions Tour 2024: China Kickoff,Group Stage,Decider (C),All Maps,2,31%,69%
Champions Tour 2024: China Kickoff,Group Stage,Decider (C),Icebox,1,30%,70%
Champions Tour 2024: China Kickoff,Group Stage,Decider (C),Sunset,1,32%,68%
Champions Tour 2024: China Kickoff,All Stages,All Match Types,All Maps,46,48%,52%
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Lotus,8,53%,47%
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Ascent,8,45%,55%
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Sunset,8,48%,52%
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Bind,7,46%,54%
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Icebox,6,42%,58%
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Split,5,57%,43%
Champions Tour 2024: China Kickoff,All Stages,All Match Types,Breeze,4,44%,56%
