Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Haven,FURIA,$$$ (won),9,3
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,DRX,Pistol Won,,2
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,DRX,Eco (won),6,2
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,DRX,$ (won),1,0
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,DRX,$$ (won),9,6
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,DRX,$$$ (won),31,21
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,FURIA,Pistol Won,,2
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,FURIA,Eco (won),6,2
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,FURIA,$ (won),4,1
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,FURIA,$$ (won),8,3
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,FURIA,$$$ (won),29,12
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Pearl,FNATIC,Pistol Won,,0
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Pearl,FNATIC,Eco (won),4,0
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Pearl,FNATIC,$ (won),1,0
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Pearl,FNATIC,$$ (won),7,3
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Pearl,FNATIC,$$$ (won),11,7
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Pearl,100 Thieves,Pistol Won,,2
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Pearl,100 Thieves,Eco (won),2,2
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Pearl,100 Thieves,$ (won),1,0
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Pearl,100 Thieves,$$ (won),6,3
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Pearl,100 Thieves,$$$ (won),14,8
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Bind,FNATIC,Pistol Won,,2
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Bind,FNATIC,Eco (won),2,2
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Bind,FNATIC,$ (won),1,0
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Bind,FNATIC,$$ (won),4,3
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Bind,FNATIC,$$$ (won),13,8
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Bind,100 Thieves,Pistol Won,,0
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Bind,100 Thieves,Eco (won),4,0
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Bind,100 Thieves,$ (won),3,1
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Bind,100 Thieves,$$ (won),0,0
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Bind,100 Thieves,$$$ (won),13,6
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Haven,FNATIC,Pistol Won,,0
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Haven,FNATIC,Eco (won),4,0
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Haven,FNATIC,$ (won),1,0
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Haven,FNATIC,$$ (won),9,3
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Haven,FNATIC,$$$ (won),6,4
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Haven,100 Thieves,Pistol Won,,2
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Haven,100 Thieves,Eco (won),2,2
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Haven,100 Thieves,$ (won),1,0
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Haven,100 Thieves,$$ (won),5,4
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Haven,100 Thieves,$$$ (won),12,7
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,All Maps,FNATIC,Pistol Won,,2
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,All Maps,FNATIC,Eco (won),10,2
